,route_id,m/s,km/h,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,transit_type
54,37808,4.7631290284042525,17.14726450225531,TL,R1,King George Blvd,,3,,008522,FFFFFF,Bus (RapidBus)
44,33292,4.744333710076843,17.079601356276633,TL,133,Holdom Station/Edmonds Station,,3,,,,Bus
52,36799,4.7296687833621025,17.02680762010357,TL,249,Lonsdale Quay/Delbrook,,3,,,,Bus
139,6701,4.724163657045516,17.00698916536386,TL,314,Surrey Central/Sunbury,,3,,,,Bus
202,6829,4.709604436673223,16.9545759720236,TL,416,East Cambie/Brighouse Station,,3,,,,Bus
18,29039,4.705695296919928,16.94050306891174,TL,864,Lord Tweedsmuir School,,3,,,,Bus
217,7322,4.691441947557544,16.889191011207156,TL,132,Capitol Hill/Hastings @ Gilmore,,3,,,,Bus
92,6643,4.686083775752233,16.86990159270804,TL,101,Lougheed Station/22nd St Station,,3,,,,Bus
147,6709,4.664672565575155,16.79282123607056,TL,326,Guildford/Surrey Central Station,,3,,,,Bus
25,30041,4.6164134861430215,16.619088550114878,TL,175,Coquitlam Central Station/Meridian,,3,,,,Bus
120,6676,4.613864396628223,16.609911827861605,TL,228,Lynn Valley/Lonsdale Quay,,3,,,,Bus
98,6649,4.611382129793347,16.600975667256048,TL,123,New West Station/Brentwood Station,,3,,,,Bus
123,6679,4.596041160312253,16.54574817712411,TL,232,Grouse Mountain Mountain/Phibbs Exchange,,3,,,,Bus
58,39304,4.519021653125052,16.268477951250187,TL,031,Metrotown Station/River District,,3,,,,Bus
81,6628,4.472981792582703,16.10273445329773,TL,026,Joyce Station/29th Avenue Station,,3,,,,Bus
9,16719,4.457637753029334,16.047495910905603,TL,109,New Westminster Station/Lougheed Station,,3,,,,Bus
110,6663,4.425189555735735,15.930682400648648,TL,155,Braid Station/22nd Street  Station,,3,,,,Bus
0,10232,4.424095389767155,15.926743403161758,TL,256,Whitby Estate/Park Royal/Spuraway,,3,,,,Bus
198,6823,4.406723955647152,15.864206240329748,TL,616,Ladner South/Ladner Exchange,,3,,,,Bus
126,6683,4.395959589649691,15.82545452273889,TL,241,Upper Lonsdale/Downtown,,3,,,,Bus
65,6612,4.391149428176079,15.808137941433884,TL,002,Macdonald/Burrard Station,,3,,,,Bus
74,6621,4.38412733864097,15.782858419107491,TL,015,Cambie/Olympic Village Station,,3,,,,Bus
148,6710,4.365331623779158,15.71519384560497,TL,329,Surrey Central Station/Scottsdale,,3,,,,Bus
45,33538,4.364707661452399,15.712947581228637,TL,068,UBC Exchange/Wesbrook Village,,3,,,,Bus
192,6811,4.327005705826799,15.577220540976478,TL,146,Metrotown Station/Suncrest,,3,,,,Bus
73,6620,4.311106858991301,15.519984692368684,TL,010,Granville/Waterfront Station,,3,,,,Bus
34,30051,4.308490600611981,15.510566162203133,TL,189,Coquitlam Central Station/Lafarge Park,,3,,,,Bus
39,31818,4.2927254001788935,15.453811440644017,TL,362,Seaside/White Rock Centre,,3,,,,Bus
100,6651,4.282005258963382,15.415218932268177,TL,130,Metrotown/Pender/Kootenay,,3,,,,Bus
